"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000188976",3772,1979,3531,3312,NA,NA,NA,NA,NA,NA,NA,NA,3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2479,NA,NA,NA
"ENSG00000188290",5683,NA,2881,NA,NA,871,1866,NA,NA,1652,NA,NA,1911,2177,3047,1655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000187608",261,NA,1793,628,1691,NA,947,NA,930,1313,NA,NA,2207,2406,1748,1993,NA,NA,1349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2374,1604,NA,NA
"ENSG00000078808",2548,2917,3063,5287,2201,NA,NA,2651,3784,3545,NA,NA,3885,3662,3355,2392,NA,NA,NA,NA,2622,NA,NA,NA,1862,2974,2802,3311,NA,NA,NA,1711,NA,2286,2468,2962
"ENSG00000176022",4591,NA,4849,4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000160087",2811,NA,4453,3447,NA,NA,NA,NA,NA,NA,NA,NA,NA,4381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000131584",1665,2126,2799,3080,2577,NA,2541,2238,1649,2333,1094,1329,2935,2701,2529,1737,816,1636,974,NA,1276,2063,NA,NA,416,574,1952,2423,1797,NA,1852,NA,1601,812,1071,1100
"ENSG00000127054",1838,NA,3814,4974,NA,NA,NA,2592,2804,3153,NA,NA,3911,3127,2260,2373,NA,NA,NA,NA,1629,NA,NA,NA,841,1637,2751,NA,NA,NA,NA,NA,NA,2571,NA,1672
"ENSG00000224051",3539,NA,NA,3548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000107404",5051,NA,4705,5311,NA,NA,2611,3055,NA,NA,NA,NA,NA,4406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3348,3535,NA,NA,NA,NA,NA,NA,NA,NA,NA
