gene_id,gene_name,gene_type,replicated_overall_rank,overall_rank,average_rank,n_withinTop100,Br6522_LC_1_round1_single,Br6522_LC_2_round1_single,Br8153_LC_round2_left,Br8153_LC_round2_right,Br2701_LC_round2_top,Br2701_LC_round2_bottom,Br6522_LC_round3_leftbottom,Br6522_LC_round3_right,Br8079_LC_round3_left,Br8079_LC_round3_right,Br2701_LC_round3_left,Br2701_LC_round3_right,Br8153_LC_round3_left
ENSG00000105519,CAPS,protein_coding,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
ENSG00000006016,CRLF1,protein_coding,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
ENSG00000118271,TTR,protein_coding,NA,3,9.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,17,NA,NA
ENSG00000123454,DBH,protein_coding,1,4,12.38461538,13,13,36,12,17,3,1,6,6,14,14,1,4,34
ENSG00000004838,ZMYND10,protein_coding,NA,5,19.5,2,NA,NA,NA,NA,NA,NA,NA,NA,18,21,NA,NA,NA
ENSG00000186710,CFAP73,protein_coding,NA,6,20,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
ENSG00000277586,NEFL,protein_coding,2,7,20.30769231,12,5,25,9,2,18,3,11,8,40,104,9,12,18
ENSG00000103546,SLC6A2,protein_coding,3,8,22,12,47,51,11,12,NA,6,13,5,16,42,2,1,58
ENSG00000198938,MT-CO3,protein_coding,4,9,24.38461538,12,4,2,1,1,11,10,3,12,3,2,236,29,3
ENSG00000135046,ANXA1,protein_coding,NA,10,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
ENSG00000180176,TH,protein_coding,5,11,28.16666667,11,34,130,16,58,NA,4,30,7,8,27,7,8,9
ENSG00000132321,IQCA1,protein_coding,NA,12,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA
ENSG00000154277,UCHL1,protein_coding,6,13,31.15384615,13,1,13,31,10,16,34,20,51,61,99,11,10,48
ENSG00000104435,STMN2,protein_coding,7,14,31.69230769,13,16,18,71,45,29,18,22,16,52,44,31,5,45
ENSG00000131095,GFAP,protein_coding,8,15,32.46153846,12,102,12,59,80,22,20,24,23,10,4,20,34,12
ENSG00000123560,PLP1,protein_coding,9,16,35.30769231,12,159,10,5,50,32,61,2,4,23,20,28,60,5
ENSG00000080824,HSP90AA1,protein_coding,10,17,40.23076923,13,2,5,57,69,71,25,21,10,30,9,79,76,69
ENSG00000198804,MT-CO1,protein_coding,11,18,43.53846154,12,27,4,4,8,2,37,36,28,6,13,93,287,21
ENSG00000197971,MBP,protein_coding,12,19,43.92307692,12,9,1,8,78,84,35,1,1,7,11,27,270,39
ENSG00000165462,PHOX2A,protein_coding,NA,20,44,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,31,NA
ENSG00000269028,MTRNR2L12,protein_coding,13,21,45.38461538,11,18,23,17,7,6,28,4,46,85,53,156,124,23
ENSG00000100979,PLTP,protein_coding,NA,22,45.5,2,NA,NA,NA,NA,NA,NA,NA,NA,32,59,NA,NA,NA
ENSG00000198763,MT-ND2,protein_coding,14,23,46.15384615,12,28,29,10,19,7,15,31,25,5,5,74,342,10
ENSG00000266844,AC093330.1,lncRNA,NA,24,48,1,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000102924,CBLN1,protein_coding,NA,25,49,2,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,38
ENSG00000113140,SPARC,protein_coding,15,26,50,10,48,31,111,39,49,39,10,54,21,34,101,106,7
ENSG00000198727,MT-CYB,protein_coding,16,27,50.84615385,11,64,8,21,5,19,19,112,131,38,46,85,96,17
ENSG00000087460,GNAS,protein_coding,17,28,52.61538462,13,3,16,56,71,94,29,41,89,71,74,40,63,37
ENSG00000101439,CST3,protein_coding,18,29,55.38461538,11,24,42,26,22,50,47,178,41,37,22,94,135,2
ENSG00000262202,AC007952.4,lncRNA,NA,30.5,57,2,NA,NA,NA,NA,NA,NA,NA,NA,54,60,NA,NA,NA
ENSG00000177989,ODF3B,protein_coding,NA,30.5,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA
ENSG00000165646,SLC18A2,protein_coding,19,32,58,12,69,476,14,6,4,11,28,34,29,24,4,2,53
ENSG00000120885,CLU,protein_coding,20,33,59.84615385,11,15,57,35,68,20,31,243,91,13,7,67,120,11
ENSG00000188536,HBA2,protein_coding,NA,34,62.88888889,7,87,70,27,NA,8,5,53,153,NA,NA,19,144,NA
ENSG00000125148,MT2A,protein_coding,21,35,63,10,10,60,29,11,73,92,8,13,122,93,133,174,1
ENSG00000171951,SCG2,protein_coding,22,36,63.69230769,12,23,37,51,63,99,62,149,82,31,39,75,57,60
ENSG00000198886,MT-ND4,protein_coding,23,37,67.07692308,11,17,9,6,15,12,26,15,19,15,17,210,503,8
ENSG00000198899,MT-ATP6,protein_coding,24,38,68.76923077,10,59,11,2,4,10,43,87,136,9,16,325,178,14
ENSG00000177575,CD163,protein_coding,NA,39.5,69,2,NA,NA,NA,NA,NA,NA,NA,NA,55,83,NA,NA,NA
ENSG00000198888,MT-ND1,protein_coding,25,39.5,69,10,7,7,3,13,17,22,90,143,4,8,214,363,6
ENSG00000130203,APOE,protein_coding,NA,41,70.69230769,9,35,84,66,30,34,30,174,106,91,40,109,101,19
ENSG00000206172,HBA1,protein_coding,NA,42,71.33333333,2,NA,NA,NA,NA,NA,9,170,NA,NA,NA,35,NA,NA
ENSG00000258947,TUBB3,protein_coding,26,43,71.53846154,10,42,71,63,14,56,41,38,27,207,193,26,32,120
ENSG00000104722,NEFM,protein_coding,27,44,71.75,10,55,58,41,236,NA,50,12,33,35,78,77,36,150
ENSG00000198840,MT-ND3,protein_coding,28,45,75.07692308,10,81,6,7,3,1,2,457,18,83,52,125,116,25
ENSG00000131711,MAP1B,protein_coding,NA,46,76.76923077,9,20,14,142,47,75,79,17,15,28,30,164,246,121
ENSG00000196136,SERPINA3,protein_coding,NA,47,77.5,2,NA,NA,NA,NA,NA,NA,NA,NA,64,91,NA,NA,NA
ENSG00000008283,CYB561,protein_coding,29,48,77.83333333,10,433,185,13,16,NA,36,27,68,50,23,5,6,72
ENSG00000143153,ATP1B1,protein_coding,NA,49,77.84615385,8,26,34,69,134,26,7,70,237,123,113,13,20,140
ENSG00000198786,MT-ND5,protein_coding,NA,50,88.76923077,8,8,15,24,56,9,8,270,185,104,178,90,181,26
ENSG00000212907,MT-ND4L,protein_coding,NA,51,91.76923077,9,54,24,68,27,23,32,337,45,107,224,34,150,68
ENSG00000173369,C1QB,protein_coding,NA,52,92,2,NA,NA,NA,NA,NA,NA,NA,NA,89,95,NA,NA,NA
ENSG00000170027,YWHAG,protein_coding,NA,53,92.58333333,8,29,49,46,82,NA,58,78,26,299,182,102,23,137
ENSG00000108828,VAT1,protein_coding,30,54,94.92307692,10,191,447,70,127,44,23,98,85,24,28,12,15,70
ENSG00000143156,NME7,protein_coding,NA,55,95,1,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000171885,AQP4,protein_coding,NA,56,96.84615385,8,49,148,49,23,25,44,23,49,168,159,288,219,15
ENSG00000123416,TUBA1B,protein_coding,NA,57,100.2307692,7,22,48,125,66,60,49,55,35,233,199,107,182,122
ENSG00000228253,MT-ATP8,protein_coding,NA,58,100.6153846,7,51,178,33,106,13,24,369,43,125,139,92,111,24
ENSG00000149591,TAGLN,protein_coding,NA,59,104.5,1,NA,NA,NA,NA,NA,NA,NA,NA,184,25,NA,NA,NA
ENSG00000198712,MT-CO2,protein_coding,31,60,105.8461538,10,40,3,45,25,14,12,71,149,19,15,496,459,28
ENSG00000111640,GAPDH,protein_coding,NA,61,109.8461538,7,41,398,124,227,62,33,131,134,44,128,24,51,31
ENSG00000109107,ALDOC,protein_coding,NA,62,110,9,21,53,102,311,46,53,63,24,215,322,88,61,71
ENSG00000185559,DLK1,protein_coding,NA,63,110.2222222,5,74,239,NA,NA,NA,NA,43,64,189,191,16,3,173
ENSG00000251562,MALAT1,lncRNA,NA,64,110.3,8,30,19,99,NA,NA,NA,9,2,56,51,8,162,667
ENSG00000089199,CHGB,protein_coding,NA,65,110.7,6,115,81,28,20,NA,NA,60,37,210,NA,170,33,353
ENSG00000096384,HSP90AB1,protein_coding,NA,66,112.3846154,7,19,41,189,146,52,45,241,59,260,112,68,11,218
ENSG00000087250,MT3,protein_coding,NA,67,113.3846154,7,75,28,179,59,24,118,244,20,111,64,132,371,49
ENSG00000109472,CPE,protein_coding,NA,68,114.8461538,7,12,26,112,129,53,48,34,38,253,140,232,400,16
ENSG00000025708,TYMP,protein_coding,NA,69,115.5,1,NA,NA,NA,NA,NA,NA,NA,NA,62,169,NA,NA,NA
ENSG00000165795,NDRG2,protein_coding,32,70,117.1538462,10,94,547,86,42,45,73,65,95,59,58,154,164,41
ENSG00000173372,C1QA,protein_coding,NA,71,123,1,NA,NA,NA,NA,NA,NA,NA,NA,205,41,NA,NA,NA
ENSG00000244734,HBB,protein_coding,NA,72,124,4,199,NA,106,NA,5,17,136,50,NA,NA,14,320,269
ENSG00000282885,AL627171.2,lncRNA,NA,73,125.1,7,38,77,25,29,NA,NA,14,112,139,63,718,NA,36
ENSG00000137267,TUBB2A,protein_coding,NA,74,125.5,6,6,17,110,36,NA,137,16,204,493,292,39,21,135
ENSG00000075624,ACTB,protein_coding,NA,75,130.1538462,6,133,124,144,143,85,90,373,72,51,84,147,37,209
ENSG00000231389,HLA-DPA1,protein_coding,NA,76,131,0,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA
ENSG00000154096,THY1,protein_coding,NA,77,132.0833333,6,136,139,98,43,NA,52,42,77,237,361,80,213,107
ENSG00000034510,TMSB10,protein_coding,NA,78,133.75,6,43,67,283,77,NA,115,181,166,53,86,295,163,76
ENSG00000169715,MT1E,protein_coding,NA,79,135.3846154,7,162,372,42,24,59,57,104,40,187,500,129,80,4
